,codigo,setor,precoAtual,liquidezDiaria,dividendo,dividendYield,dividendYieldAnual,variacaoPreco,pvp,vacanciaFisica,vacanciaFinanceira
298,VGIR11,Títulos e Val. Mob.,"R$ 9,42",392500.0,"R$ 0,12","1,25%","2,61%","0,21%","0,98",N/A,N/A
299,VIFI11,Títulos e Val. Mob.,"R$ 6,65",28502.0,"R$ 0,07","0,96%","1,90%","-2,02%","0,78",N/A,N/A
300,VILG11,Logística,"R$ 87,90",26873.0,"R$ 0,53","0,61%","1,33%","-7,00%","0,79","0,00%",N/A
301,VINO11,Lajes Corporativas,"R$ 39,00",21939.0,"R$ 0,31","0,73%","1,44%","-3,60%","0,71","4,20%",N/A
302,VISC11,Shoppings,"R$ 101,10",22356.0,"R$ 0,80","0,78%","1,54%","-3,46%","0,81","8,30%",N/A
303,VIUR11,Títulos e Val. Mob.,"R$ 6,07",133418.0,"R$ 0,07","1,11%","2,13%","-7,54%","0,66","0,00%",N/A
304,VJFD11,Híbrido,N/A,N/A,"R$ 1,02","0,00%",N/A,"0,00%",N/A,N/A,N/A
305,VLOL11,Lajes Corporativas,"R$ 92,82",762.0,"R$ 0,61","0,64%","1,27%","-3,05%","0,83","0,00%",N/A
306,VOTS11,Títulos e Val. Mob.,"R$ 85,27",17.0,"R$ 1,10","1,35%","2,61%","-4,28%","0,92",N/A,N/A
307,VRTA11,Títulos e Val. Mob.,"R$ 85,38",25407.0,"R$ 0,95","1,06%","2,21%","2,61%","0,94",N/A,N/A
308,VSHO11,Shoppings,"R$ 63,80",1452.0,"R$ 0,65","1,02%","2,02%","-2,02%","0,64","12,96%",N/A
309,VSLH11,Outros,"R$ 5,49",150229.0,"R$ 0,06","0,79%","2,28%","2,70%","0,52",N/A,N/A
310,VTLT11,Logística,"R$ 90,95",240.0,"R$ 0,88","1,00%","1,95%","-5,27%","0,90","0,00%","0,00%"
311,VVPR11,Híbrido,"R$ 101,50",2211.0,"R$ 0,89","0,88%","6,57%","2,01%","1,04","0,00%",N/A
312,VXXV11,Outros,"R$ 1.000,00",73.0,"R$ 10,76",N/A,N/A,N/A,"1,01",N/A,N/A
313,WPLZ11,Shoppings,"R$ 64,94",25.0,"R$ 0,45","0,66%","1,25%","-9,40%","0,74","11,00%",N/A
314,WTSP11B,Híbrido,"R$ 34,89",19.0,"R$ 0,23","0,62%","1,19%","6,02%","0,48",N/A,N/A
315,XPCA11,Títulos e Val. Mob.,"R$ 9,86",103483.0,"R$ 0,13","1,31%","2,62%","0,40%","1,04",N/A,N/A
316,XPCI11,Outros,"R$ 82,45",22307.0,"R$ 1,00","1,25%","2,47%","1,45%","0,91",N/A,N/A
